ts_code,name,一二级行业,细分行业,地区,上市日期,流通市值,3日成交额,总金额,AB股总市值,交易代码,涨幅%,净益率%,活跃度,股息率%,现价,涨跌,买价,卖价,总量,现量,涨速%,换手%,今开,最高,最低,昨收,60日涨幅%,市盈(动),量比,振幅%,均价,内盘,外盘,内外比,买量,卖量,未匹配量,委比%,量涨速%,短换手%,2分钟金额,主力净额,主力净比%,昨成交额,开盘金额,开盘抢筹%,开盘昨比%,开盘换手Z,竞价涨停买,竞价量比,封成比,封单额,流通股(亿),强弱度%,连涨天,昨涨幅%,3日涨幅%,20日涨幅%,年初至今%,年涨停天,流通股本Z,换手Z,流通市值Z,市值增减,市盈(TTM),市盈(静),近日指标提示,短期形态,中期形态,长期形态,开盘%,最高%,最低%,均涨幅%,回头波%,攻击波%,财务更新,总股本(亿),B/A股(亿),H股(亿),总资产(亿),净资产(亿),少数股权(亿),资产负债率%,流动资产(亿),固定资产(亿),无形资产(亿),流动负债(亿),货币资金(亿),存货(亿),应收账款(亿),合同负债(亿),资本公积金(亿),营业收入(亿),营业成本(亿),营业利润(亿),投资收益(亿),利润总额(亿),税后利润(亿),净利润(亿),扣非净利润(亿),未分利润(亿),经营现金流(亿),总现金流(亿),股东人数,人均持股,人均市值,利润同比%,收入同比%,市净率,市现率,市销率,每股收益,每股净资,每股公积,每股未分配,每股现金流,权益比%,毛利率%,营业利润率%,净利润率%,研发费用(亿),员工人数,自选日,自选价,自选收益%
562510,旅游ETF,,中证旅游,华夏基金,20211230,--  ,15436.63,3966.4,          7.08亿,562510,-0.42,--  ,1000,0,0.714,-0.003,0.713,0.714,549456,663,-0.13,5.54,0.715,0.728,0.713,0.717,14.42,--  ,0.73,2.09,0.722,244636,304820,0.8,3099,213,--  ,-3.55,1.09,0.13,29.73,0,0,4064.72,--  ,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,1.03,-3,-2.32,-4.3,5.62,1.13,0,--  ,--  ,--  ,         -0.03亿,--  ,--  ,-- -- ,5,2,11,-0.28,1.53,-0.56,0.7,-1.92,0.14,20241114,9.91,--  ,--  ,0,0,--  ,0,0,0,0,0,--  ,0,0,--  ,0,0,0,0,0,0,0,0,--  ,0,0,0,0,--  ,--  ,0,0,0.98,0,0,0.000㈣,0.73,0,0,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  
515220,煤炭ETF,,中证煤炭,国泰基金,20200302,--  ,76641.7,39756.23,         33.53亿,515220,-0.17,--  ,2770,0,1.191,-0.002,1.19,1.191,3324008,2,0,11.81,1.192,1.205,1.184,1.193,8.17,--  ,1.4,1.76,1.196,1336385,1987623,0.67,7777,6422,--  ,3.8,0.72,0.18,252.22,0,0,18424.76,--  ,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,1.29,-2,-1.73,-1.41,-0.75,2.98,0,--  ,--  ,--  ,         -0.06亿,--  ,--  ,-- -- ,8,11,10,-0.08,1.01,-0.75,0.25,-1.16,0.59,20241114,28.16,--  ,--  ,0,0,--  ,0,0,0,0,0,--  ,0,0,--  ,0,0,0,0,0,0,0,0,--  ,0,0,0,0,--  ,--  ,0,0,0.98,0,0,0.000㈣,1.21,0,0,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  
159930,能源ETF,,中证能源,汇添富基金,20130916,--  ,9510.62,2366.12,          3.41亿,159930,0.22,--  ,734,0,1.389,0.003,1.389,1.39,170234,670,0.07,6.94,1.383,1.399,1.379,1.386,1.02,--  ,0.55,1.44,1.39,94569,75665,1.25,4645,1310,--  ,51.04,0.3,0.04,9.31,0,0,2851.52,--  ,0.22,--  ,--  ,--  ,--  ,--  ,--  ,--  ,2.83,1,-0.86,0.22,-4.07,10.94,0,--  ,--  ,--  ,          0.01亿,--  ,--  ,-- -- ,5,5,10,-0.22,0.94,-0.51,0.29,-0.71,0.73,20241114,2.45,--  ,--  ,0,0,--  ,0,0,0,0,0,--  ,0,0,--  ,0,0,0,0,0,0,0,0,--  ,0,0,0,0,--  ,--  ,0,0,0.99,0,0,0.000㈣,1.4,0,0,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  
159825,农业ETF,,中证农业,富国基金,20201229,--  ,20179.05,6141.46,         16.31亿,159825,-1.86,--  ,1364,0,0.686,-0.013,0.685,0.686,885625,7656,0,3.73,0.698,0.7,0.685,0.699,7.36,--  ,0.57,2.15,0.693,491502,394123,1.25,24219,7319,--  ,26.53,1.42,0.11,52.52,0,0,7441.76,--  ,-0.13,--  ,--  ,--  ,--  ,--  ,--  ,--  ,0.76,-6,-2.24,-4.72,4.26,-6.79,0,--  ,--  ,--  ,         -0.31亿,--  ,--  ,-- -- ,5,2,11,-0.14,0.14,-2,-0.86,-2,0.15,20241114,23.77,--  ,--  ,0,0,--  ,0,0,0,0,0,--  ,0,0,--  ,0,0,0,0,0,0,0,0,--  ,0,0,0,0,--  ,--  ,0,0,0.96,0,0,0.000㈣,0.71,0,0,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  
516810,农业50ETF,,中证农业,华夏基金,20220111,--  ,2040.39,517.19,          1.37亿,516810,-1.7,--  ,136,0,0.692,-0.012,0.692,0.694,73936,60,0,3.73,0.704,0.706,0.692,0.704,8.81,--  ,0.57,1.99,0.7,39448,34488,1.14,3144,3000,--  ,3.65,1.06,0.08,0,0,0,626.18,--  ,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,-0.25,-6,-2.22,-4.41,4.22,-5.21,0,--  ,--  ,--  ,         -0.02亿,--  ,--  ,-- -- ,5,11,11,0,0.28,-1.7,-0.57,-1.98,0,20241113,1.98,--  ,--  ,0,0,--  ,0,0,0,0,0,--  ,0,0,--  ,0,0,0,0,0,0,0,0,--  ,0,0,0,0,--  ,--  ,0,0,0.96,0,0,0.000㈣,0.72,0,0,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  
159852,软件ETF,,中证软件,嘉实基金,20210209,--  ,55572.49,19073.76,         13.35亿,159852,-3.79,--  ,2784,0,0.838,-0.033,0.837,0.838,2196457,24125,0.12,13.78,0.865,0.89,0.836,0.871,69.29,--  ,1,6.2,0.868,1081801,1114656,0.97,2190,5031,--  ,54.3,0.99,0.28,202.17,0,0,16766.48,--  ,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,-1.17,-2,-3.76,-5.53,9.83,11.29,0,--  ,--  ,--  ,         -0.53亿,--  ,--  ,MACD死叉,8,6,3,-0.69,2.18,-4.02,-0.34,-5.84,0.24,20241114,15.94,--  ,--  ,0,0,--  ,0,0,0,0,0,--  ,0,0,--  ,0,0,0,0,0,0,0,0,--  ,0,0,0,0,--  ,--  ,0,0,0.93,0,0,0.000㈣,0.9,0,0,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  
560360,软件指数ETF,,中证软件,万家基金,20240624,--  ,2030.85,719.12,          0.83亿,560360,-3.71,--  ,301,0,1.452,-0.056,1.451,1.452,47630,200,-0.06,8.31,1.508,1.541,1.452,1.508,68.25,--  ,0.74,5.9,1.51,24397,23233,1.05,200,173,--  ,45.48,1.85,0.31,15.3,0,0,735.47,--  ,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,-2.26,-2,-3.33,-5.4,9.5,46.08,0,--  ,--  ,--  ,         -0.03亿,--  ,--  ,MACD死叉,8,,,0,2.19,-3.71,0.13,-5.78,0,20241113,0.57,--  ,--  ,0,0,--  ,0,0,0,0,0,--  ,0,0,--  ,0,0,0,0,0,0,0,0,--  ,0,0,0,0,--  ,--  ,0,0,0.95,0,0,0.000㈣,1.53,0,0,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  
562930,软件30ETF,,中证软件,易方达基金,20230605,--  ,1944.28,700.58,          0.89亿,562930,-3.51,--  ,400,0,0.851,-0.031,0.851,0.853,79523,8,-0.11,7.61,0.882,0.902,0.851,0.882,67.85,--  ,0.88,5.78,0.881,37500,42023,0.89,4,2898,--  ,37.52,0.36,0.06,1.01,0,0,580.21,--  ,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,-2.06,-2,-3.29,-5.01,10.09,11.68,0,--  ,--  ,--  ,         -0.03亿,--  ,--  ,MACD死叉,12,8,3,0,2.27,-3.51,-0.11,-5.65,0,20241114,1.04,--  ,--  ,0,0,--  ,0,0,0,0,0,--  ,0,0,--  ,0,0,0,0,0,0,0,0,--  ,0,0,0,0,--  ,--  ,0,0,0.93,0,0,0.000㈣,0.91,0,0,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  
159837,生物科技ETF,,中证生科,易方达基金,20210127,--  ,9934.71,3783.84,         13.43亿,159837,-2.31,--  ,734,0,0.465,-0.011,0.465,0.466,802895,8812,-0.2,2.78,0.476,0.477,0.465,0.476,15.67,--  ,0.9,2.52,0.471,400851,402044,1,5960,580,--  ,47.47,0.95,0.06,40.98,0,0,2816.74,--  ,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,0.31,-3,-2.86,-6.25,0.43,-12.76,0,--  ,--  ,--  ,         -0.32亿,--  ,--  ,-- -- ,10,6,13,0,0.21,-2.31,-1.05,-2.52,0,20241114,28.87,--  ,--  ,0,0,--  ,0,0,0,0,0,--  ,0,0,--  ,0,0,0,0,0,0,0,0,--  ,0,0,0,0,--  ,--  ,0,0,0.95,0,0,0.000㈣,0.49,0,0,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  
515400,大数据ETF,,中证数据,富国基金,20210120,--  ,42677.72,9053.7,          9.55亿,515400,-3.43,--  ,2156,0,0.874,-0.031,0.874,0.876,1006872,8,-0.33,9.22,0.896,0.918,0.874,0.905,57.48,--  ,0.56,4.86,0.899,548874,457998,1.2,4065,3571,--  ,-22.1,1.33,0.25,121.55,0,0,16301.76,--  ,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,-1.97,-4,-4.94,-8.87,13.07,15.92,0,--  ,--  ,--  ,         -0.34亿,--  ,--  ,-- -- ,8,6,2,-0.99,1.44,-3.43,-0.66,-4.79,0,20241114,10.93,--  ,--  ,0,0,--  ,0,0,0,0,0,--  ,0,0,--  ,0,0,0,0,0,0,0,0,--  ,0,0,0,0,--  ,--  ,0,0,0.92,0,0,0.000㈣,0.95,0,0,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  
