code,name,流通市值,涨幅%,现价,买价,卖价,总量,现量,涨速%,换手%,量比,今开,最高,最低,总金额,2分钟涨%,细分行业,振幅%,涨跌,按盘价,昨收,冷静期,抛空额,抛空量,市值增减,资金流向,内外比,活跃度,笔均量,总市值,市盈(TTM),52周最高,52周最低,年初至今%,历史波动率%,每手,平衡价,平衡量,开盘%,最高%,最低%,均涨幅%,实体涨幅%,回头波%,攻击波%,现均差%,币种,财务更新,上市日期,H股(亿),总资产(亿),净资产(亿),营业收入(亿),净利润(亿),每股收益,每股净资,每股股息,股息率%,净益率%,权益比%
02121,创新奇智,         26.27亿,-7.37,4.65,--  ,,17358800,203500,-0.43,3.07,0.58,5.06,5.15,4.64,8457.71,-0.2,软件服务,10.16,-0.37,4.65,5.02,--  ,--  ,--  ,         -2.09亿,0,1,1837,9450,         26.27亿,--  ,11.72,3.17,-49.84,125.75,100,0,0,0.8,2.59,-7.57,-2.95,-8.1,-9.71,0.22,-4.42,HKD,20240630,20220127,5.65,30.67,18.78,5.72,-1.95,-0.394,3.64,0,0,-10.41,61.22
00038,第一拖拉机股份,         26.10亿,0.45,6.66,--  ,,1857500,34000,0,0.47,0.62,6.65,6.76,6.62,1241.99,0.3,工业工程,2.11,0.03,6.66,6.63,--  ,161.76,242000,          0.34亿,0,1,716,2594,         74.83亿,6.57,10.4,3.628,44.53,67.93,2000,0,0,0.3,1.96,-0.15,0.86,0.15,-1.48,0.6,-0.41,HKD,20240930,19970623,3.92,158,74.4,107.36,11.01,1.087,7.34,0.35,5.29,14.8,47.09
03309,希玛医疗,         25.74亿,0,2.05,--  ,,1736000,54000,0.99,0.14,0.22,2.1,2.1,2,351.66,-0.48,医保及服务,4.88,0,2.05,2.05,--  ,--  ,--  ,          0.00亿,0,1,180,9644,         25.74亿,40.85,3.86,1.81,-40.41,58.6,2000,0,0,2.44,2.44,-2.44,-1.12,-2.38,-2.38,2.5,1.12,HKD,20240630,20180115,12.56,27.74,18.38,9.23,0.31,0.025,1.46,0,0,1.67,66.24
02150,奈雪的茶,         24.38亿,-0.69,1.43,--  ,,7274000,154500,-0.69,0.43,0.69,1.44,1.48,1.43,1055.21,-0.68,旅游及消闲,3.47,-0.01,1.43,1.44,--  ,0.15,1000,         -0.17亿,0,1,316,23019,         24.38亿,--  ,4.08,1.2,-54.89,87.36,500,0,0,0,2.78,-0.69,0.69,-0.69,-3.38,0,-1.39,HKD,20240630,20210630,17.05,66.15,43.89,25.44,-4.35,-0.274,2.8,0,0,-9.91,66.36
00564,郑煤机,         24.25亿,0.61,9.97,--  ,,620800,6400,0.1,0.26,0.32,9.91,10.08,9.92,620.33,0,汽车,1.61,0.06,9.97,9.91,--  ,13,13000,          1.07亿,0,1,285,2178,        178.00亿,4.1,13.397,6.287,30.55,69.94,200,0,0,0,1.72,0.1,0.84,0.61,-1.09,0.5,-0.23,HKD,20240930,20121205,2.43,489.53,219.99,278.39,30.59,1.908,13.66,0.92,9.26,13.9,44.94
01274,知行汽车科技,         22.30亿,0.69,21.95,--  ,,958200,6200,0,0.94,0.44,22,23,21.65,2133.11,-0.22,软件服务,6.19,0.15,21.95,21.8,--  ,3.09,1400,          0.34亿,0,1,702,1365,         49.68亿,--  ,115.6,18.92,-34.87,95.02,100,0,0,0.92,5.5,-0.69,2.1,-0.23,-4.57,1.39,-1.41,HKD,20240630,20231220,1.02,15.99,10.25,6.36,-0.99,-0.482,4.96,0,0,-9.62,64.1
01375,中州证券,         20.92亿,-2.78,1.75,--  ,,16170000,20000,0,1.35,0.44,1.81,1.85,1.74,2901.11,0.57,其他金融,6.11,-0.05,1.75,1.8,--  ,--  ,--  ,         -2.32亿,0,1,687,23537,         81.25亿,43.23,4.08,0.938,60.85,194.79,1000,0,0,0.56,2.78,-3.33,-0.33,-3.31,-5.41,0.57,-2.44,HKD,20240930,20140625,11.95,516.71,139.77,12.92,1.63,0.039,3.34,0.02,1.26,1.17,27.05
06196,郑州银行,         20.00亿,0,0.99,--  ,,6109928,33000,1.02,0.3,0.33,1,1,0.98,605.15,1.02,银行,2.02,0,0.99,0.99,--  ,--  ,--  ,          0.00亿,0,1,158,38670,         90.01亿,5.87,1.41,0.7,19.28,119.26,1000,0,0,1.01,1.01,-1.01,0.1,-1,-1,1.02,-0.1,HKD,20240930,20151223,20.2,6666.26,548.99,90.61,22.44,0.277,6.7,0,0,4.09,8.24
09676,十月稻田,         19.97亿,-1.64,7.79,--  ,,5442900,67800,0.26,2.12,0.54,7.95,8.08,7.73,4282.36,0,农业产品,4.42,-0.13,7.79,7.92,--  ,--  ,--  ,         -1.39亿,0,1,1205,4517,         83.21亿,30.19,100,7.73,-70.84,165.75,300,0,0,0.38,2.02,-2.4,-0.67,-2.01,-3.59,0.78,-0.97,HKD,20240630,20231012,2.56,43.44,34.76,26.21,1.26,0.131,3.57,0.03,0.44,3.62,80.01
00323,马鞍山钢铁股份,         19.93亿,-1.71,1.15,--  ,,3986000,52000,0,0.23,0.48,1.16,1.18,1.15,463.36,0,一般金属,2.56,-0.02,1.15,1.17,--  ,142.64,1224000,         -1.55亿,0,1,186,21430,         89.09亿,--  ,1.55,0.85,-6.5,88.17,2000,0,0,-0.85,0.85,-1.71,-0.68,-0.86,-2.54,0,-1.03,HKD,20240930,19931103,17.33,813.91,252.31,615.13,-25.35,-0.365,3.61,0,0,-10.05,31
00347,鞍钢股份,         19.90亿,-2.08,1.41,--  ,,7826600,120000,-1.4,0.55,0.81,1.43,1.46,1.41,1127.28,-0.69,一般金属,3.47,-0.03,1.41,1.44,--  ,182.74,1268000,         -2.82亿,0,1,320,24458,        132.31亿,--  ,1.96,1.01,-8.44,91.73,2000,0,0,-0.69,1.39,-2.08,0.07,-1.4,-3.42,0,-2.15,HKD,20240930,19970724,14.12,988.98,496.32,792.61,-50.84,-0.601,5.86,0,0,-10.24,50.19
02411,百果园集团,         19.54亿,-3.7,1.3,--  ,,20044000,99000,0,1.33,1.17,1.38,1.38,1.3,2658.84,0,食物饮品,5.93,-0.05,1.3,1.35,--  ,102.48,768000,         -0.79亿,0,1,1858,10788,         20.65亿,9.68,6.633,1.3,-78.49,98.81,500,0,0,2.22,2.22,-3.7,-1.78,-5.8,-5.8,0,-1.93,HKD,20240630,20230116,15.03,85.77,32.34,55.94,0.89,0.064,2.23,0.05,3.64,2.74,37.71
01456,国联证券,         18.90亿,-4.26,4.27,--  ,,7247500,51500,0,1.64,0.62,4.49,4.52,4.24,3164.03,-0.22,其他金融,6.28,-0.19,4.27,4.46,--  ,43.32,98000,         -5.38亿,0,1,722,10038,        120.92亿,31.19,8.18,2.554,30.41,159.86,500,0,0,0.67,1.35,-4.93,-2.13,-4.9,-5.53,0.71,-2.13,HKD,20240930,20150706,4.43,1028.92,183.65,20.05,3.96,0.155,7.19,0.16,3.65,2.16,17.85
02009,金隅集团,         18.48亿,-1.25,0.79,--  ,,8229000,138000,0,0.35,0.4,0.8,0.81,0.78,656.34,1.28,建筑,3.75,-0.01,0.79,0.8,--  ,50.21,626000,         -1.07亿,0,1,860,9569,         84.35亿,--  ,1.1,0.55,12.46,103.77,1000,0,0,0,1.25,-2.5,-0.12,-1.25,-2.47,1.28,-1.13,HKD,20240930,20090729,23.39,2702.4,744.73,770.37,-4.37,-0.044,7.73,0.03,3.48,-0.59,27.56
06698,星空华文,         17.54亿,23.6,4.4,--  ,,55550600,730900,1.62,13.94,8.7,3.66,4.52,3.56,23487.52,0.92,媒体及娱乐,26.97,0.84,4.4,3.56,--  ,--  ,--  ,          3.35亿,0,1,6220,8931,         17.54亿,--  ,27.35,2.27,-63.15,126.26,100,0,0,2.81,26.97,0,18.76,20.22,-2.65,23.6,4.83,HKD,20240630,20221229,3.99,30.85,28.26,0.71,-0.57,-0.153,7.77,0,0,-2.01,91.59
06639,瑞尔集团,         17.02亿,-1.63,3.02,--  ,,1246000,6500,0.33,0.22,0.72,3.08,3.13,2.97,376.41,0,医保及服务,5.21,-0.05,3.02,3.07,--  ,--  ,--  ,         -0.28亿,0,1,293,4253,         17.02亿,89.91,7.92,2.85,-57.94,76.7,500,0,0,0.33,1.95,-3.26,-1.56,-1.95,-3.51,1.68,-0.07,HKD,20240331,20220322,5.64,32.53,17.55,17.46,0.17,0.044,3.34,0,0,0.98,53.96
02407,高视医疗,         16.45亿,2.96,11.12,--  ,,1582443,14300,0.36,1.07,0.62,10.82,11.52,10.8,1754.31,0.18,医保及服务,6.67,0.32,11.12,10.8,--  ,--  ,--  ,          0.47亿,-11.12,1,1002,1579,         16.45亿,16.14,40.95,8.45,-69.7,125.48,100,0,0,0.19,6.67,0,2.67,2.77,-3.47,2.96,0.3,HKD,20240630,20221212,1.48,28.08,15.41,6.42,0.28,0.208,11.41,1.1,9.89,1.85,54.87
06680,金力永磁,         16.26亿,-5.59,8.1,--  ,,6725440,63800,-0.37,3.35,0.5,8.58,8.67,8.1,5585.45,-0.11,一般金属,6.64,-0.48,8.1,8.58,--  ,--  ,--  ,         -6.46亿,0,1,1636,4111,        108.96亿,36.11,12.1,4.932,-16.2,167.08,200,0,0,0,1.05,-5.59,-3.22,-5.59,-6.57,0,-2.38,HKD,20240930,20220114,2.01,110.8,67.41,50.14,1.97,0.166,5.56,0.37,4.61,2.92,60.84
03369,秦港股份,         15.52亿,0,1.87,--  ,,1142500,14000,-0.53,0.14,0.6,1.86,1.9,1.85,214.28,0,工用运输,2.67,0,1.87,1.87,--  ,28.81,153500,          0.00亿,0,1,111,10293,        104.48亿,5.92,2.26,1.169,49.72,37.12,500,0,0,-0.53,1.6,-1.07,0.37,0.54,-1.58,1.08,-0.37,HKD,20240930,20131212,8.3,280.01,192.5,50.7,13.39,0.266,3.82,0.09,4.87,6.95,68.75
06821,凯莱英,         15.15亿,-2.22,55,--  ,,102220,1700,-0.45,0.37,0.32,56,56.25,55,567.33,-0.35,药品及生科,2.22,-1.25,55,56.25,--  ,80.42,14500,         -4.60亿,0,1,350,292,        202.24亿,22.91,110.623,37.6,-38.22,79.28,100,0,0,-0.44,0,-2.22,-1.33,-1.79,-2.22,0,-0.9,HKD,20240930,20211210,0.28,186.98,166.13,41.4,7.1,2.229,50.1,1.98,3.59,4.28,88.85
01528,红星美凯龙,         13.27亿,-3.76,1.79,--  ,,4950600,45600,0,0.67,0.13,1.89,1.9,1.79,911.09,-0.55,地产,5.91,-0.07,1.79,1.86,--  ,--  ,--  ,         -3.05亿,0,1,448,11050,         77.95亿,--  ,2.81,1.05,-17.13,160.94,200,0,0,1.61,2.15,-3.76,-1.02,-5.29,-5.79,0,-2.74,HKD,20240930,20150626,7.41,1186.65,476.58,61.05,-18.87,-0.477,12.14,0,0,-3.96,40.16
01330,绿色动力环保,         12.62亿,-0.64,3.12,--  ,,293000,1000,0,0.07,0.35,3.13,3.16,3.09,91.54,0,工业工程,2.23,-0.02,3.12,3.14,--  ,--  ,--  ,         -0.28亿,0,1,111,2640,         43.48亿,6.5,3.74,1.905,50.35,47.03,1000,0,0,-0.32,0.64,-1.59,-0.41,-0.32,-1.27,0.97,-0.22,HKD,20240930,20140619,4.04,224.04,81.18,25.44,5.04,0.399,6.46,0.27,8.81,6.2,36.23
01468,京基金融国际,         11.70亿,1.43,0.71,--  ,,101481000,1090000,0,6.16,0.74,0.71,0.74,0.69,7249.62,0,综合企业,7.14,0.01,0.71,0.7,--  ,--  ,--  ,          0.16亿,0,1,846,119954,         11.70亿,--  ,7.787,0.503,-80.2,165.13,10000,0,0,1.43,5.71,-1.43,2,0,-4.05,2.9,-0.57,HKD,20240331,20150320,16.48,8.67,4.06,3.3,-5.51,-0.075,0.05,0,0,-135.74,46.86
06826,昊海生物科技,         11.64亿,-1.36,29,--  ,,279300,700,0,0.7,0.65,29.3,29.8,28.7,810.78,0,医保及服务,3.74,-0.4,29,29.4,--  ,42.44,14600,         -0.94亿,0,1,473,590,         67.92亿,14.12,42.95,20.491,5.22,70.43,100,0,0,-0.34,1.36,-2.38,-1.19,-1.02,-2.68,1.05,-0.17,HKD,20240930,20150430,0.4,72.45,56.69,20.75,3.41,1.619,26.75,1.54,5.3,6.01,78.25
01942,马可数字科技,         11.55亿,0,1.24,--  ,,62122000,954000,0,6.67,0.43,1.25,1.29,1.2,7751.98,0,专业零售,7.26,0,1.24,1.24,--  ,--  ,--  ,          0.00亿,0,1,1651,37627,         11.55亿,--  ,3,0.58,-22.98,143.65,2000,0,0,0.81,4.03,-3.23,0.65,-0.8,-3.88,3.33,-0.65,HKD,20240630,20200415,9.31,8.19,6.73,6.13,0.01,0.002,0.95,0,0,0.2,82.12
00719,山东新华制药股份,         11.49亿,-0.51,5.89,--  ,,858000,20000,-0.17,0.44,0.27,6.01,6.01,5.88,509.01,-0.16,药品及生科,2.2,-0.03,5.89,5.92,--  ,--  ,--  ,         -0.20亿,0,1,205,4185,         40.19亿,8,8.05,4.499,7.51,90.09,2000,0,0,1.52,1.52,-0.68,0.22,-2,-2,0.17,-0.73,HKD,20240930,19961231,1.95,87.34,47.54,67.34,3.44,0.554,7.63,0.3,5.12,7.24,54.43
01635,大众公用,         11.42亿,-2.73,2.14,--  ,,19738000,22000,0,3.7,0.38,2.2,2.29,2.13,4354.78,0,公用事业,7.27,-0.06,2.14,2.2,--  ,--  ,--  ,         -1.77亿,0,1,1082,18242,         63.18亿,50.26,3.62,1.062,75.18,205.44,1000,0,0,0,4.09,-3.18,0.27,-2.73,-6.55,0.47,-3,HKD,20240930,20161205,5.34,226.73,84.12,47.21,1.7,0.067,3.16,0.04,1.79,2.02,37.1
06127,昭衍新药,         10.97亿,0.22,9.22,--  ,,1399938,15000,-0.32,1.18,0.44,9.45,9.58,9.13,1307.98,-0.64,药品及生科,4.89,0.02,9.22,9.2,--  ,--  ,--  ,          0.15亿,0,1,543,2578,         69.10亿,2224.08,15.74,6.31,-27.29,115.57,100,0,0,2.72,4.13,-0.76,1.57,-2.43,-3.76,0.99,-1.35,HKD,20240930,20210226,1.19,95.25,80.02,13.35,-0.7,-0.1,11.84,0.18,1.95,-0.88,84.01
01065,天津创业环保股份,         10.61亿,-0.32,3.12,--  ,,174000,2000,0,0.05,0.56,3.18,3.18,3.12,54.68,0,公用事业,1.92,-0.01,3.12,3.13,--  ,--  ,--  ,         -0.16亿,0,1,27,6444,         49.00亿,4.97,3.79,2.338,25.42,55.52,2000,0,0,1.6,1.6,-0.32,0.35,-1.89,-1.89,0,-0.67,HKD,20240930,19940517,3.4,255.34,95.4,33.89,6.78,0.477,6.74,0.18,5.84,7.1,37.36
01108,凯盛新能,         10.43亿,-0.48,4.17,--  ,,300000,4000,0.24,0.12,0.35,4.12,4.22,4.12,124.68,0,工业工程,2.39,-0.02,4.17,4.19,--  ,--  ,--  ,         -0.13亿,0,1,148,2027,         26.92亿,--  ,6.13,3.47,-1.88,102.57,2000,0,0,-1.67,0.72,-1.67,-0.81,1.21,-1.18,1.21,0.33,HKD,20240930,19940708,2.5,126.84,43.8,36.95,-2.47,-0.421,7.52,0,0,-5.65,34.53
09989,海普瑞,          9.02亿,-1.2,4.1,--  ,,409500,500,0.24,0.19,0.25,4.15,4.19,4.06,168.63,0,药品及生科,3.13,-0.05,4.1,4.15,--  ,--  ,--  ,         -0.73亿,0,1,125,3276,         60.16亿,--  ,5.92,2.39,14.53,83.38,500,0,0,0,0.96,-2.17,-0.77,-1.2,-2.15,0.99,-0.43,HKD,20240930,20200708,2.2,181.21,121.4,40.69,7.8,0.59,9.18,0,0,6.43,66.99
01812,晨鸣纸业,          8.93亿,-0.59,1.69,--  ,,851091,1000,0,0.16,0.37,1.7,1.72,1.67,144.09,1.2,原材料,2.94,-0.01,1.69,1.7,--  ,--  ,--  ,         -0.30亿,-1.69,1,161,5286,         49.97亿,--  ,2.28,1.42,-15.5,69.47,500,0,0,0,1.18,-1.76,-0.47,-0.59,-1.74,1.2,-0.12,HKD,20240930,20080618,5.28,751.94,159.54,198.25,-7.1,-0.268,5.98,0,0,-4.45,21.22
01349,复旦张江,          8.74亿,-2.9,2.68,--  ,,3680000,51000,0.37,1.13,0.44,2.76,2.76,2.65,996.21,0,药品及生科,3.99,-0.08,2.68,2.76,--  ,--  ,--  ,         -0.83亿,0,1,236,15593,         27.78亿,23.58,4.42,1.663,9.27,153.52,1000,0,0,0,0,-3.99,-1.96,-2.9,-2.9,1.13,-0.94,HKD,20240930,20131216,3.26,26.27,23.52,5.49,0.86,0.089,2.52,0.1,3.63,3.68,89.52
02068,中铝国际,          8.15亿,-1.45,2.04,--  ,,2751000,22000,-0.49,0.69,0.4,2.09,2.11,2.04,572.56,-0.96,建筑,3.38,-0.03,2.04,2.07,--  ,--  ,--  ,         -0.90亿,0,1,217,12677,         60.91亿,--  ,2.7,1.2,39.73,105.94,1000,0,0,0.97,1.93,-1.45,0.53,-2.39,-3.32,0,-1.98,HKD,20240930,20120706,3.99,416.66,62.2,161.42,2.51,0.047,2.31,0,0,4.04,14.93
01858,春立医疗,          7.84亿,0,8.24,--  ,,538000,250,0.86,0.57,0.82,8.2,8.3,8.07,443.32,1.1,医保及服务,2.79,0,8.24,8.24,--  ,--  ,--  ,          0.00亿,-16.48,1,200,2690,         31.61亿,17.8,13.932,6.089,-31.17,74.39,250,0,0,-0.49,0.73,-2.06,-0.01,0.49,-0.72,2.11,0.01,HKD,20240930,20150311,0.95,34.95,27.95,5.08,0.61,0.177,8.08,0.49,5.93,2.19,79.97
